basalt	create	1	this process creates a protrusion of cheesy basalt commonly called a squeeze-up	basalte	former	1	l éclogite , quant à elle , se formerait lorsque le plancher de basalte des océans , recyclé par la subduction , recristallise dans le manteau elle serait , par conséquent , moins abondante
basalt	create	2	fluid basalt will more commonly move down slope by creating its own channelways above gently sloping terrains , or by flowing down in pre-existing stream channels	basalte	former	2	les fonds océaniques , qui représentent 60 % de la surface du globe , sont formés de basalte
basalt	create	3	17 million years ago , huge molten-basalt flows from a hot spot created the columbia plateau in oregon and washington	basalte	former	3	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales
basalt	create			basalte	former	4	elle a formé les grandes coulées de basalte qui couvrent les paysages que nous traversons
basalt	make	1	oceanic crust is made of relatively dense rock called basalt	basalte	former	1	l éclogite , quant à elle , se formerait lorsque le plancher de basalte des océans , recyclé par la subduction , recristallise dans le manteau elle serait , par conséquent , moins abondante
basalt	make	2	shield volcanoes are made of thousands of thin basalt lava flows	basalte	former	2	les fonds océaniques , qui représentent 60 % de la surface du globe , sont formés de basalte
basalt	make	3	they contain more sodium and/or potassium than the shield-building basalts that make the bulk of the volcano	basalte	former	3	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales
basalt	make	4	the islands of hawaii are made of basalt , a rock that consist of the minerals olivine , pyroxene , and plagioclase , and is relatively rich in iron and magnesium and poor in silica	basalte	former	4	elle a formé les grandes coulées de basalte qui couvrent les paysages que nous traversons
basalt	make	5	on the other hand , if an oceanic plate made of dense basalt hits a low-density continental plate then the former will plunge underneath , pushing back into the hot , convecting mantle	basalte	former		
basalt	make	6	basalt is dark volcanic rock made up of small crystals and glass , whereas dacite , while also glassy or fine-grained , generally is much lighter in color	basalte	former		
basalt	form	1	when basalt enters water passively , it forms pillow basalt	basalte	former	1	l éclogite , quant à elle , se formerait lorsque le plancher de basalte des océans , recyclé par la subduction , recristallise dans le manteau elle serait , par conséquent , moins abondante
basalt	form	2	because these lavas are more viscous stickier than basalt , they tend to form thicker flows that travel shorter distances from the vent; consequently , andesite and dacite lavas typically build tall cones with steep slopes of more than 20 degrees	basalte	former	2	les fonds océaniques , qui représentent 60 % de la surface du globe , sont formés de basalte
basalt	form	3	where the melt forms from a subducted plate , basalt-magma blobs rise up against the underside of the continental crust	basalte	former	3	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales
basalt	form	4	the large scale of the tharsis shield volcanoes suggests that they formed from massive eruptions of fluid basalt over prolonged periods of time	basalte	former	4	elle a formé les grandes coulées de basalte qui couvrent les paysages que nous traversons
basalt	form	5	massive fissure eruptions in the geological past have generated extraordinarily voluminous lava flows that form large continental flood basalt provinces	basalte	former		
