cinder	cone	rainier is dwarfed by mauna loa , and cinder cones are tiny in proportion to the other types	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	types	NOM
cinder	cone	by studying the extent of erosion and soil development on lathrop wells , the researchers compared this volcanic cinder cones with a similar cone in southeastern california , indirectly dated at about 15,000 to 20,000 years old	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	volcanique|cendre	NOM
cinder	cone	later volcanic activity built a small cinder cones in the lake called wizard island , which today provides a mute reminder of past activity figure 4.19	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	figure	NOM
cinder	cone	cinder cones in lassen volcanic park is just one vivid reminder	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	cendre|volcanique	NOM
cinder	cone	note how it dwarfs a typical cinder cones	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	type|cendre	NOM
cinder	cone	made of tephra - lava blown into the air and solidified - cinder cones are usually small , steep-sided structures formed during a single , mildly explosive event	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	cendre|volcanique	NOM
cinder	cone	today , paricutin is just another one of the numerous quiet cinder cones dotting the landscape in this region of mexico	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	bas|cendre	NOM
cinder	cone	the most common types of volcanic landfor ms are : shield volcanoes , stratovolcanoes , cinder cones , volcanic domes , volcanic spines , and lava plains	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	types	NOM
cinder	cone	the tephra accumulates near the central vent and builds a cinder cones	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	vent	NOM
cinder	cone	cinder cones are conical hills produced by the accumulation of cinders and other tephra	0	scorie	cône	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques	cendre|cendre	NOM
