basalt	create	1	this process creates a protrusion of cheesy basalt commonly called a squeeze-up	basalte	former	1	l éclogite , quant à elle , se formerait lorsque le plancher de basalte des océans , recyclé par la subduction , recristallise dans le manteau elle serait , par conséquent , moins abondante
basalt	create	2	fluid basalt will more commonly move down slope by creating its own channelways above gently sloping terrains , or by flowing down in pre-existing stream channels	basalte	former	2	par ailleurs , lorsqu elles parviennent en surface le long d une faille dans la lithosphère une dorsale océanique , par exemple , elles sont liquéfiées par la décompression et forment des épanchements de basaltes dont on connaît la composition chimique du silicium , de l aluminium , du magnésium , du calcium et du fer
basalt	create	3	17 million years ago , huge molten-basalt flows from a hot spot created the columbia plateau in oregon and washington	basalte	former	3	la faille de thingvellir , les labyrinthes de sables enchantés du landmannalaugar , les colonnes de basalte qui forment d interminables orgues pour le concert des dieux , les glaciers que déchirent des gorges bleues et vertigineuses , comme celle de fjadrargljufur , près de kirkjubaejarklaustur , les icebergs impassibles des fjords , les cônes massacrés des volcans , ces dalles d église que la nature a taillées , à l est du mont klaustur , entre les glaces et la mer
basalt	create			basalte	former	4	les fonds océaniques , qui représentent 60 % de la surface du globe , sont formés de basalte
basalt	create			basalte	former	5	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales
basalt	create			basalte	former	6	elle a formé les grandes coulées de basalte qui couvrent les paysages que nous traversons
basalt	make	1	oceanic crust is made of relatively dense rock called basalt	basalte	former	1	l éclogite , quant à elle , se formerait lorsque le plancher de basalte des océans , recyclé par la subduction , recristallise dans le manteau elle serait , par conséquent , moins abondante
basalt	make	2	shield volcanoes are made of thousands of thin basalt lava flows	basalte	former	2	par ailleurs , lorsqu elles parviennent en surface le long d une faille dans la lithosphère une dorsale océanique , par exemple , elles sont liquéfiées par la décompression et forment des épanchements de basaltes dont on connaît la composition chimique du silicium , de l aluminium , du magnésium , du calcium et du fer
basalt	make	3	they contain more sodium and/or potassium than the shield-building basalts that make the bulk of the volcano	basalte	former	3	la faille de thingvellir , les labyrinthes de sables enchantés du landmannalaugar , les colonnes de basalte qui forment d interminables orgues pour le concert des dieux , les glaciers que déchirent des gorges bleues et vertigineuses , comme celle de fjadrargljufur , près de kirkjubaejarklaustur , les icebergs impassibles des fjords , les cônes massacrés des volcans , ces dalles d église que la nature a taillées , à l est du mont klaustur , entre les glaces et la mer
basalt	make	4	the islands of hawaii are made of basalt , a rock that consist of the minerals olivine , pyroxene , and plagioclase , and is relatively rich in iron and magnesium and poor in silica	basalte	former	4	les fonds océaniques , qui représentent 60 % de la surface du globe , sont formés de basalte
basalt	make	5	on the other hand , if an oceanic plate made of dense basalt hits a low-density continental plate then the former will plunge underneath , pushing back into the hot , convecting mantle	basalte	former	5	en effet , la roche-mère de ces diamants , l éclogite , se forme lorsque les basaltes du plancher océanique s enfoncent dans le manteau , sous les plaques continentales
basalt	make	6	basalt is dark volcanic rock made up of small crystals and glass , whereas dacite , while also glassy or fine-grained , generally is much lighter in color	basalte	former	6	elle a formé les grandes coulées de basalte qui couvrent les paysages que nous traversons
basalt	form	1	when basalt enters water passively , it forms pillow basalt	basalte	former	1	l éclogite , quant à elle , se formerait lorsque le plancher de basalte des océans , recyclé par la subduction , recristallise dans le manteau elle serait , par conséquent , moins abondante
basalt	form	2	because these lavas are more viscous stickier than basalt , they tend to form thicker flows that travel shorter distances from the vent; consequently , andesite and dacite lavas typically build tall cones with steep slopes of more than 20 degrees	basalte	former	2	par ailleurs , lorsqu elles parviennent en surface le long d une faille dans la lithosphère une dorsale océanique , par exemple , elles sont liquéfiées par la décompression et forment des épanchements de basaltes dont on connaît la composition chimique du silicium , de l aluminium , du magnésium , du calcium et du fer
