basalt	dark-colored	1	runny magma low in silica 50 percent cools into dark-colored basalt rock	1	basalte	sombre	1	partout , dans les églises aux frontons immaculés soulignés de sombres arabesques de basalte , l or ruisselle des autels et retables baroques	0	False
basalt	dark-colored				basalte	sombre	2	les laves basiques émises actuellement par le volcan kilauea forment des roches gris sombre à noir , appelées basaltes	0	False
basalt	dark-colored				basalte	sombre	3	les basaltes sombres sont les roches volcaniques les plus fréquentes	1	False
basalt	dark-colored				basalte	sombre	4	les pépérites , roches constituées de granules de basalte sombres dans une roche claire , mimant des grains de poivre , résultent également d éruptions phréatomagmatiques	1	False
basalt	dark-colored				basalte	sombre	5	les basaltes sombres renferment des olivines vertes , des pyroxènes noirs , des oxydes de fer-titane noirs eux aussi et des feldspaths plagioclases blancs	1	False
basalt	tholeiitic	1	lava is alkalic in composition , with higher abundances of sodium and potassium relative to the tholeiitic basalts of the shield-building stage	1	basalte	tholéiitiques	1	du point de vue géochimique , les basaltes alcalins et tholéiitiques moins alcalins se côtoient	1	False
basalt	tholeiitic				basalte	tholéiitiques	2	les laves sont dominées par les basaltes tholéiitiques et se consolident généralement en pillow-lavas	1	False
basalt	alkalic	1	capping stage , refers to a stage in the evolution of a typical hawaiian volcano during which alkalic , basalt , and related rocks build a steeply , sloping cap on the main shield of the volcano	1	basalte	alcalin	1	au cours de son ascension et de son stockage dans les chambres magmatiques , la lave peut subir une contamination par les roches encaissantes elle devient plus acide ou une différenciation : dans le massif du mont-dore un volume considérable de basalte alcalin 150 à 200 km3 s est mis en place dans une vaste chambre conique de grande extension verticale 17 km dont le toit se situait à 9 km de profondeur , il en est résulté une différenciation des parties les plus légères vers le haut , d où la succession : ponces et coulées pyroclastiques rhyolitiques , trachyandésites et enfin basaltes alcalins	1	False
basalt	alkalic	2	alkalic basalt fills the summit caldera , if one is present , and produces a steep-sided cap at the summit of the volcano	1	basalte	alcalin	2	du point de vue géochimique , les basaltes alcalins et tholéiitiques moins alcalins se côtoient	1	False
basalt	alkalic				basalte	alcalin	3	ceux-là émettent en général des basaltes alcalins c est-à-dire riches en potassium et sodium	1	False
basalt	spill	1	the hexagonal columns of fingal s cave in scotland were formed by flood basalts , which can spill from fissures in the crust to form plateaus hundreds of feet deep	0	basalte	épancher	1	elle est constituée de roches sédimentaires calcaires déposées au fond d anciennes mers , de roches magmatiques issues de la solidification de magmas restés en profondeur granites ou épanchés en surface basaltes et de roches métamorphiques gneiss qui ont été transformés par des processus géologiques	0	False
basalt	form	1	when basalt enters water passively , it forms pillow basalt	1	basalte	former	1	l éclogite , quant à elle , se formerait lorsque le plancher de basalte des océans , recyclé par la subduction , recristallise dans le manteau elle serait , par conséquent , moins abondante	0	True
